Designator,Mid X,Mid Y,Layer,Rotation
BRD1,143.2mm,121.425001mm,Top,180.0
D1,88.0mm,116.7mm,Top,90.0
D2,106.8mm,116.6mm,Top,90.0
D3,102.8mm,116.6mm,Top,90.0
D4,91.9mm,96.6mm,Top,270.0
D5,92.0mm,109.0mm,Top,270.0
D6,78.7mm,95.3mm,Top,270.0
D7,78.6mm,107.1mm,Top,270.0
F1,98.0mm,125.4mm,Top,270.0
F2,95.4mm,125.4mm,Top,270.0
F3,47.6mm,125.6mm,Top,270.0
G1,20.7mm,5.4mm,Top,0.0
G2,12.46mm,25.0mm,Top,90.0
G3,12.46mm,12.0mm,Top,90.0
G4,27.46mm,12.0mm,Top,90.0
G5,35.0mm,12.0mm,Top,90.0
G6,40.0mm,30.0mm,Top,180.0
G7,20.0mm,25.0mm,Top,90.0
G8,20.0mm,12.0mm,Top,90.0
J1,101.85mm,14.35mm,Top,0.0
J2,13.6mm,144.5mm,Top,0.0
J4,59.0mm,6.65mm,Top,270.0
P1,119.5mm,132.0mm,Top,0.0
P2,116.5mm,132.0mm,Top,0.0
P3,110.5mm,132.0mm,Top,0.0
P4,107.5mm,132.0mm,Top,0.0
P5,84.8mm,133.0mm,Top,0.0
P6,81.6mm,133.0mm,Top,0.0
P7,78.4mm,133.0mm,Top,0.0
P8,74.0mm,133.0mm,Top,0.0
P9,84.8mm,127.5mm,Top,0.0
P10,81.6mm,127.5mm,Top,0.0
P11,78.4mm,127.5mm,Top,0.0
P12,74.6mm,127.5mm,Top,0.0
P13,71.6mm,127.5mm,Top,0.0
P14,68.6mm,127.5mm,Top,0.0
P15,65.5mm,133.0mm,Top,0.0
P16,62.5mm,133.0mm,Top,0.0
P17,59.5mm,132.990001mm,Top,0.0
P18,56.5mm,133.0mm,Top,0.0
P19,53.5mm,133.0mm,Top,0.0
P20,50.5mm,133.0mm,Top,0.0
P21,65.5mm,127.5mm,Top,0.0
P22,62.5mm,127.5mm,Top,0.0
P23,59.5mm,127.5mm,Top,0.0
P24,56.5mm,127.5mm,Top,0.0
P25,53.5mm,127.5mm,Top,0.0
P26,50.5mm,127.5mm,Top,0.0
P27,44.0mm,133.0mm,Top,0.0
P28,35.5mm,133.0mm,Top,0.0
P29,32.5mm,133.0mm,Top,0.0
P30,29.5mm,133.0mm,Top,0.0
P31,26.5mm,133.0mm,Top,0.0
P32,20.0mm,133.0mm,Top,0.0
P33,17.0mm,133.0mm,Top,0.0
P34,29.5mm,128.0mm,Top,0.0
P35,107.8mm,92.2mm,Top,90.0
P36,63.0mm,35.6mm,Top,0.0
P37,60.0mm,35.6mm,Top,0.0
P38,66.0mm,35.6mm,Top,0.0
P39,43.5mm,66.5mm,Top,0.0
P40,107.8mm,65.6mm,Top,0.0
P41,107.8mm,56.6mm,Top,0.0
P42,107.8mm,61.2mm,Top,0.0
P43,107.8mm,70.0mm,Top,0.0
P44,107.8mm,95.5mm,Top,90.0
P45,107.8mm,89.0mm,Top,90.0
P46,107.8mm,85.8mm,Top,90.0
P47,107.8mm,82.6mm,Top,90.0
P48,107.8mm,79.4mm,Top,90.0
P49,75.0mm,35.6mm,Top,0.0
P50,78.0mm,35.6mm,Top,0.0
P51,69.0mm,35.6mm,Top,0.0
P52,72.0mm,35.6mm,Top,0.0
P53,90.0mm,35.6mm,Top,0.0
P54,84.0mm,35.6mm,Top,0.0
P55,93.0mm,35.6mm,Top,0.0
P56,96.0mm,35.6mm,Top,0.0
P57,87.0mm,35.6mm,Top,0.0
P58,81.0mm,35.6mm,Top,0.0
P59,43.5mm,96.0mm,Top,270.0
P60,43.5mm,99.0mm,Top,270.0
P61,43.5mm,90.0mm,Top,270.0
P62,43.5mm,93.0mm,Top,270.0
P63,43.5mm,84.0mm,Top,270.0
P64,43.5mm,87.0mm,Top,270.0
P65,43.5mm,81.0mm,Top,270.0
P66,43.6mm,74.8mm,Top,0.0
P67,43.5mm,59.5mm,Top,0.0
Q1,97.7mm,95.6mm,Top,270.0
Q2,97.8mm,108.0mm,Top,270.0
Q3,84.4mm,95.65mm,Top,270.0
Q4,84.4mm,108.0mm,Top,270.0
R1,144.2mm,124.8mm,Top,270.0
R2,139.0mm,124.8mm,Top,270.0
R3,133.8mm,124.8mm,Top,270.0
R4,128.6mm,125.0mm,Top,270.0
R5,123.4mm,125.0mm,Top,270.0
R6,113.4mm,125.0mm,Top,270.0
R7,108.4mm,125.0mm,Top,270.0
R8,104.5mm,133.0mm,Top,270.0
R9,146.8mm,124.8mm,Top,270.0
R10,141.6mm,124.8mm,Top,270.0
R11,136.4mm,124.8mm,Top,270.0
R12,131.2mm,125.0mm,Top,270.0
R13,126.0mm,125.0mm,Top,270.0
R14,120.9mm,125.0mm,Top,270.0
R15,118.4mm,125.0mm,Top,270.0
R16,115.9mm,125.0mm,Top,270.0
R17,110.9mm,125.0mm,Top,270.0
R18,105.8mm,125.0mm,Top,270.0
