Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"D_Schottky","D1","D_SMA","C8678"
"DNP","D2","D_SMA",""
"D_Schottky","D3","D_SMA","C8678"
"D_Schottky","D4","D_SMA","C8678"
"D_Schottky","D5","D_SMA","C8678"
"D_Schottky","D6","D_SMA","C8678"
"D_Schottky","D7","D_SMA","C8678"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD",""
"Fuse-Pad-Pad","F3","PAD-1206-PAD","C182446"
"RUSEFI_LOGO","G1","rusefi_logo",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"PROTO_AREA","G8","PROTO_AREA",""
"MountingHole","H1","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H2","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H3","MountingHole_5mm_Pad_TopOnly",""
"MountingHole","H4","MountingHole_5mm_Pad_TopOnly",""
"XH-10AW","J1","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"TE-3-178780-6","J2","TE-3-178780-6",""
"Conn_01x06","J4","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J5","TestPoint_Pad_D4.0mm",""
"Module:wbo/0.3","M1","wbo",""
"Module:can/0.1","M2","can",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
