Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BRD1,143.200000mm,121.425001mm,Top,180.0,143.200000mm,121.425001mm
D1,88.000000mm,116.700000mm,Top,90.0,88.000000mm,116.700000mm
D2,106.800000mm,116.600000mm,Top,90.0,106.800000mm,116.600000mm
D3,102.800000mm,116.600000mm,Top,90.0,102.800000mm,116.600000mm
D4,91.900000mm,96.600000mm,Top,-90.0,91.900000mm,96.600000mm
D5,92.000000mm,109.000000mm,Top,-90.0,92.000000mm,109.000000mm
D6,78.700000mm,95.300000mm,Top,-90.0,78.700000mm,95.300000mm
D7,78.600000mm,107.100000mm,Top,-90.0,78.600000mm,107.100000mm
F1,98.000000mm,125.400000mm,Top,-90.0,98.000000mm,125.400000mm
F2,95.400000mm,125.400000mm,Top,-90.0,95.400000mm,125.400000mm
F3,47.600000mm,125.600000mm,Top,-90.0,47.600000mm,125.600000mm
G1,20.700000mm,5.400000mm,Top,0.0,20.700000mm,5.400000mm
G2,12.460000mm,25.000000mm,Top,90.0,12.460000mm,25.000000mm
G3,12.460000mm,12.000000mm,Top,90.0,12.460000mm,12.000000mm
G4,27.460000mm,12.000000mm,Top,90.0,27.460000mm,12.000000mm
G5,35.000000mm,12.000000mm,Top,90.0,35.000000mm,12.000000mm
G6,40.000000mm,30.000000mm,Top,180.0,40.000000mm,30.000000mm
G7,20.000000mm,25.000000mm,Top,90.0,20.000000mm,25.000000mm
G8,20.000000mm,12.000000mm,Top,90.0,20.000000mm,12.000000mm
J1,101.850000mm,14.350000mm,Top,0.0,101.850000mm,14.350000mm
J2,13.600000mm,144.500000mm,Top,0.0,13.600000mm,144.500000mm
J4,59.000000mm,6.650000mm,Top,-90.0,59.000000mm,6.650000mm
M1,56.950000mm,18.475000mm,Top,0.0,56.950000mm,18.475000mm
M2,46.281663mm,34.962498mm,Top,-90.0,46.281663mm,34.962498mm
P1,119.500000mm,132.000000mm,Top,0.0,119.500000mm,132.000000mm
P2,116.500000mm,132.000000mm,Top,0.0,116.500000mm,132.000000mm
P3,110.500000mm,132.000000mm,Top,0.0,110.500000mm,132.000000mm
P4,107.500000mm,132.000000mm,Top,0.0,107.500000mm,132.000000mm
P5,84.800000mm,133.000000mm,Top,0.0,84.800000mm,133.000000mm
P6,81.600000mm,133.000000mm,Top,0.0,81.600000mm,133.000000mm
P7,78.400000mm,133.000000mm,Top,0.0,78.400000mm,133.000000mm
P8,74.000000mm,133.000000mm,Top,0.0,74.000000mm,133.000000mm
P9,84.800000mm,127.500000mm,Top,0.0,84.800000mm,127.500000mm
P10,81.600000mm,127.500000mm,Top,0.0,81.600000mm,127.500000mm
P11,78.400000mm,127.500000mm,Top,0.0,78.400000mm,127.500000mm
P12,74.600000mm,127.500000mm,Top,0.0,74.600000mm,127.500000mm
P13,71.600000mm,127.500000mm,Top,0.0,71.600000mm,127.500000mm
P14,68.600000mm,127.500000mm,Top,0.0,68.600000mm,127.500000mm
P15,65.500000mm,133.000000mm,Top,0.0,65.500000mm,133.000000mm
P16,62.500000mm,133.000000mm,Top,0.0,62.500000mm,133.000000mm
P17,59.500000mm,132.990001mm,Top,0.0,59.500000mm,132.990001mm
P18,56.500000mm,133.000000mm,Top,0.0,56.500000mm,133.000000mm
P19,53.500000mm,133.000000mm,Top,0.0,53.500000mm,133.000000mm
P20,50.500000mm,133.000000mm,Top,0.0,50.500000mm,133.000000mm
P21,65.500000mm,127.500000mm,Top,0.0,65.500000mm,127.500000mm
P22,62.500000mm,127.500000mm,Top,0.0,62.500000mm,127.500000mm
P23,59.500000mm,127.500000mm,Top,0.0,59.500000mm,127.500000mm
P24,56.500000mm,127.500000mm,Top,0.0,56.500000mm,127.500000mm
P25,53.500000mm,127.500000mm,Top,0.0,53.500000mm,127.500000mm
P26,50.500000mm,127.500000mm,Top,0.0,50.500000mm,127.500000mm
P27,44.000000mm,133.000000mm,Top,0.0,44.000000mm,133.000000mm
P28,35.500000mm,133.000000mm,Top,0.0,35.500000mm,133.000000mm
P29,32.500000mm,133.000000mm,Top,0.0,32.500000mm,133.000000mm
P30,29.500000mm,133.000000mm,Top,0.0,29.500000mm,133.000000mm
P31,26.500000mm,133.000000mm,Top,0.0,26.500000mm,133.000000mm
P32,20.000000mm,133.000000mm,Top,0.0,20.000000mm,133.000000mm
P33,17.000000mm,133.000000mm,Top,0.0,17.000000mm,133.000000mm
P34,29.500000mm,128.000000mm,Top,0.0,29.500000mm,128.000000mm
P35,107.800000mm,92.200000mm,Top,90.0,107.800000mm,92.200000mm
P36,63.000000mm,35.600000mm,Top,0.0,63.000000mm,35.600000mm
P37,60.000000mm,35.600000mm,Top,0.0,60.000000mm,35.600000mm
