Ref,Val,Package,PosX,PosY,Rot,Side
"BRD1","proteus","proteus",143.200000,121.425001,180.000000,top
"D1","D_Schottky","D_SMA",88.000000,116.700000,90.000000,top
"D2","DNP","D_SMA",106.800000,116.600000,90.000000,top
"D3","D_Schottky","D_SMA",102.800000,116.600000,90.000000,top
"D4","D_Schottky","D_SMA",91.900000,96.600000,-90.000000,top
"D5","D_Schottky","D_SMA",92.000000,109.000000,-90.000000,top
"D6","D_Schottky","D_SMA",78.700000,95.300000,-90.000000,top
"D7","D_Schottky","D_SMA",78.600000,107.100000,-90.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",98.000000,125.400000,-90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",95.400000,125.400000,-90.000000,top
"F3","Fuse-Pad-Pad","PAD-1206-PAD",47.600000,125.600000,-90.000000,top
"G1","RUSEFI_LOGO","rusefi_logo",20.700000,5.400000,0.000000,top
"G2","PROTO_AREA","PROTO_AREA",12.460000,25.000000,90.000000,top
"G3","PROTO_AREA","PROTO_AREA",12.460000,12.000000,90.000000,top
"G4","PROTO_AREA","PROTO_AREA",27.460000,12.000000,90.000000,top
"G5","PROTO_AREA","PROTO_AREA",35.000000,12.000000,90.000000,top
"G6","PROTO_AREA","PROTO_AREA",40.000000,30.000000,180.000000,top
"G7","PROTO_AREA","PROTO_AREA",20.000000,25.000000,90.000000,top
"G8","PROTO_AREA","PROTO_AREA",20.000000,12.000000,90.000000,top
"J1","XH-10AW","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal",101.850000,14.350000,0.000000,top
"J2","TE-3-178780-6","TE-3-178780-6",13.600000,144.500000,0.000000,top
"J4","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",59.000000,6.650000,-90.000000,top
"M1","Module-wbo-0.3","wbo",56.950000,18.475000,0.000000,top
"M2","Module-can-0.1","can",46.281663,34.962498,-90.000000,top
"P1","Pad","PAD-TH",119.500000,132.000000,0.000000,top
"P2","Pad","PAD-TH",116.500000,132.000000,0.000000,top
"P3","Pad","PAD-TH",110.500000,132.000000,0.000000,top
"P4","Pad","PAD-TH",107.500000,132.000000,0.000000,top
"P5","Pad","PAD-TH",84.800000,133.000000,0.000000,top
"P6","Pad","PAD-TH",81.600000,133.000000,0.000000,top
"P7","Pad","PAD-TH",78.400000,133.000000,0.000000,top
"P8","Pad","PAD-TH",74.000000,133.000000,0.000000,top
"P9","Pad","PAD-TH",84.800000,127.500000,0.000000,top
"P10","Pad","PAD-TH",81.600000,127.500000,0.000000,top
"P11","Pad","PAD-TH",78.400000,127.500000,0.000000,top
"P12","Pad","PAD-TH",74.600000,127.500000,0.000000,top
"P13","Pad","PAD-TH",71.600000,127.500000,0.000000,top
"P14","Pad","PAD-TH",68.600000,127.500000,0.000000,top
"P15","Pad","PAD-TH",65.500000,133.000000,0.000000,top
"P16","Pad","PAD-TH",62.500000,133.000000,0.000000,top
"P17","Pad","PAD-TH",59.500000,132.990001,0.000000,top
"P18","Pad","PAD-TH",56.500000,133.000000,0.000000,top
"P19","Pad","PAD-TH",53.500000,133.000000,0.000000,top
"P20","Pad","PAD-TH",50.500000,133.000000,0.000000,top
"P21","Pad","PAD-TH",65.500000,127.500000,0.000000,top
"P22","Pad","PAD-TH",62.500000,127.500000,0.000000,top
"P23","Pad","PAD-TH",59.500000,127.500000,0.000000,top
"P24","Pad","PAD-TH",56.500000,127.500000,0.000000,top
"P25","Pad","PAD-TH",53.500000,127.500000,0.000000,top
"P26","Pad","PAD-TH",50.500000,127.500000,0.000000,top
"P27","Pad","PAD-TH",44.000000,133.000000,0.000000,top
